//
// Fantom Unit Database
//
// Quantity sections are delimited as "-- {name} (dim)".  Each unit
// must match the string format specified by Unit.define.
//
// History:
//   20 Dec 08  Brian Frank  Auto generate from oBIX database
//   15 Sep 10  Brian Frank  Rework to be simple text file
//

-- dimensionless (null)
percent, %
percent_per_second, %/s; sec-1

-- grammage (kg1*m-2)
kilograms_per_square_meter, kg/m²; kg1*m-2
grams_per_square_meter, g/m²; kg1*m-2; 0.0010

-- heating rate (sec-1*K1)
degrees_kelvin_per_second, K/s; sec-1*K1
degrees_celsius_per_hour, °C/h; sec-1*K1; 2.777777777777778E-4
degrees_celsius_per_minute, °C/min; sec-1*K1; 0.016666666666666666
degrees_fahrenheit_per_hour, °F/h; sec-1*K1; 1.5432098765432E-4
degrees_fahrenheit_per_minute, °F/min; sec-1*K1; 0.0092592592592593
degrees_kelvin_per_hour, K/h; sec-1*K1; 2.777777777777778E-4
degrees_kelvin_per_minute, K/min; sec-1*K1; 0.016666666666666666

-- illuminance (m-2*cd1)
lux, lx; m-2*cd1
candelas_per_square_meter, cd/m²; m-2*cd1

-- inductance (kg1*m2*sec-2*A-2)
henry, H; kg1*m2*sec-2*A-2

-- irradiance (kg1*sec-3)
watts_per_square_meter_irradiance, W/m²_irr; kg1*sec-3
watts_per_square_foot_irradiance, W/ft²_irr; kg1*sec-3; 10.76391041671

-- length (m1)
meter, m; m1
micrometer, um; m1; 1.0E-5
millimeter, mm; m1; 0.0010
centimeter, cm; m1; 0.01
kilometer, km; m1; 1000.0
inch, in; m1; 0.0254
foot, ft; m1; 0.3048
yard, yd; m1; 0.9144
mile; m1; 1609.344

-- luminescence (cd1)
candela, cd; cd1
footcandle, ftcd; cd1

-- luminous flux (cd1)
lumen, lm; cd1

-- magnetic field strength (m-1*A1)
amperes_per_meter, A/m; m-1*A1

-- magnetic flux (kg1*m2*sec-2*A-1)
weber, Wb; kg1*m2*sec-2*A-1

-- magnetic flux density (kg1*sec-2*A-1)
tesla, T; kg1*sec-2*A-1

-- mass (kg1)
kilogram, kg; kg1
milligram, mg; kg1; 1.0E-6
gram, g; kg1; 0.0010
ounce, oz; kg1; 0.02835
pound, lb; kg1; 0.453591
metric_ton, ton; kg1; 1000.0
short_ton, t; kg1; 907.18474

-- mass flow (kg1*sec-1)
kilograms_per_second, kg/s; kg1*sec-1
kilograms_per_minute, kg/min; kg1*sec-1; 0.016666666666666666
kilograms_per_hour, kg/h; kg1*sec-1; 2.777777777777778E-4
pounds_per_minute, lb/min; kg1*sec-1; 0.007559872833333333
pounds_per_hour, lb/h; kg1*sec-1; 1.2599788055555556E-4
pounds_per_second, lb/s; kg1*sec-1; 0.45359237
grams_per_second, g/s; kg1*sec-1; 0.0010
grams_per_minute, g/min; kg1*sec-1; 1.6666666666666667E-5
